loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,credit_age_months,term,grade,sub_grade,emp_length,home_ownership,verification_status,purpose,addr_state,target,text_prompt
20000,22.35,556.37,50000.0,29.16,0,680.0,0,13,0,25170,36.7,35,191,60,D,D5,-1,MORTGAGE,Source Verified,debt_consolidation,KY,0,"이 대출 신청자는 연소득 50,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 20,000달러, 대출 기간은 60개월이며, 적용 금리는 22.35%입니다. 매월 납입해야 하는 상환 원리금은 556달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 191개월(약 15.9년)입니다. 총 부채상환비율(DTI)은 29.16%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 13개이고, 전체 신용 한도 대비 사용률(revol_util)은 36.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
6000,11.31,197.32,89000.0,23.41,0,680.0,1,12,0,35373,54.8,18,210,36,B,B3,5,MORTGAGE,Not Verified,debt_consolidation,VA,0,"이 대출 신청자는 연소득 89,000달러이며, 재직 기간은 5년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 6,000달러, 대출 기간은 36개월이며, 적용 금리는 11.31%입니다. 매월 납입해야 하는 상환 원리금은 197달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 210개월(약 17.5년)입니다. 총 부채상환비율(DTI)은 23.41%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 12개이고, 전체 신용 한도 대비 사용률(revol_util)은 54.80%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
20000,17.97,507.55,95000.0,13.24,1,680.0,0,22,0,15383,27.4,30,108,60,D,D1,10,MORTGAGE,Source Verified,debt_consolidation,MA,0,"이 대출 신청자는 연소득 95,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 20,000달러, 대출 기간은 60개월이며, 적용 금리는 17.97%입니다. 매월 납입해야 하는 상환 원리금은 508달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 108개월(약 9.0년)입니다. 총 부채상환비율(DTI)은 13.24%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 22개이고, 전체 신용 한도 대비 사용률(revol_util)은 27.40%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
9500,8.19,298.53,50000.0,11.43,0,680.0,0,7,0,5126,32.0,11,121,36,A,A4,5,RENT,Not Verified,credit_card,MN,0,"이 대출 신청자는 연소득 50,000달러이며, 재직 기간은 5년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 9,500달러, 대출 기간은 36개월이며, 적용 금리는 8.19%입니다. 매월 납입해야 하는 상환 원리금은 299달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 121개월(약 10.1년)입니다. 총 부채상환비율(DTI)은 11.43%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 7개이고, 전체 신용 한도 대비 사용률(revol_util)은 32.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
3000,17.97,108.42,55000.0,8.36,0,680.0,1,8,1,1172,11.2,14,44,36,D,D1,4,RENT,Verified,debt_consolidation,CO,0,"이 대출 신청자는 연소득 55,000달러이며, 재직 기간은 4년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 3,000달러, 대출 기간은 36개월이며, 적용 금리는 17.97%입니다. 매월 납입해야 하는 상환 원리금은 108달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 44개월(약 3.7년)입니다. 총 부채상환비율(DTI)은 8.36%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 8개이고, 전체 신용 한도 대비 사용률(revol_util)은 11.20%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 1건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
10000,16.14,352.27,65000.0,13.12,0,680.0,0,10,1,7313,43.5,31,226,36,C,C4,10,MORTGAGE,Source Verified,debt_consolidation,CA,0,"이 대출 신청자는 연소득 65,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 10,000달러, 대출 기간은 36개월이며, 적용 금리는 16.14%입니다. 매월 납입해야 하는 상환 원리금은 352달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 226개월(약 18.8년)입니다. 총 부채상환비율(DTI)은 13.12%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 43.50%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 1건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
6600,11.31,217.05,45000.0,16.21,0,680.0,0,6,0,6167,58.2,13,81,36,B,B3,10,RENT,Not Verified,credit_card,TX,0,"이 대출 신청자는 연소득 45,000달러이며, 재직 기간은 10년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 6,600달러, 대출 기간은 36개월이며, 적용 금리는 11.31%입니다. 매월 납입해야 하는 상환 원리금은 217달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 81개월(약 6.8년)입니다. 총 부채상환비율(DTI)은 16.21%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 6개이고, 전체 신용 한도 대비 사용률(revol_util)은 58.20%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
18000,8.81,372.0,31000.0,20.75,0,680.0,1,10,0,16597,38.6,19,186,60,A,A5,10,MORTGAGE,Source Verified,credit_card,MI,0,"이 대출 신청자는 연소득 31,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 18,000달러, 대출 기간은 60개월이며, 적용 금리는 8.81%입니다. 매월 납입해야 하는 상환 원리금은 372달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 186개월(약 15.5년)입니다. 총 부채상환비율(DTI)은 20.75%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 38.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
4000,12.73,134.26,75000.0,6.5,0,680.0,0,10,1,4499,29.8,35,159,36,B,B5,0,MORTGAGE,Verified,house,CA,0,"이 대출 신청자는 연소득 75,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 4,000달러, 대출 기간은 36개월이며, 적용 금리는 12.73%입니다. 매월 납입해야 하는 상환 원리금은 134달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 159개월(약 13.2년)입니다. 총 부채상환비율(DTI)은 6.50%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 29.80%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 1건입니다. 이번 대출의 신청 목적은 주택 구입입니다."
3500,15.02,121.37,37000.0,6.84,0,680.0,1,7,0,579,11.6,23,144,36,C,C3,10,RENT,Source Verified,debt_consolidation,PA,0,"이 대출 신청자는 연소득 37,000달러이며, 재직 기간은 10년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 3,500달러, 대출 기간은 36개월이며, 적용 금리는 15.02%입니다. 매월 납입해야 하는 상환 원리금은 121달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 144개월(약 12.0년)입니다. 총 부채상환비율(DTI)은 6.84%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 7개이고, 전체 신용 한도 대비 사용률(revol_util)은 11.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
23500,19.92,872.39,73000.0,38.8,1,680.0,1,22,0,5364,12.7,45,158,36,D,D3,10,MORTGAGE,Source Verified,small_business,MS,1,"이 대출 신청자는 연소득 73,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 23,500달러, 대출 기간은 36개월이며, 적용 금리는 19.92%입니다. 매월 납입해야 하는 상환 원리금은 872달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 158개월(약 13.2년)입니다. 총 부채상환비율(DTI)은 38.80%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 22개이고, 전체 신용 한도 대비 사용률(revol_util)은 12.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 소규모 사업 자금입니다."
35000,17.97,888.2,56000.0,46.89,1,680.0,0,15,0,33542,92.4,24,231,60,D,D1,4,MORTGAGE,Verified,credit_card,WA,0,"이 대출 신청자는 연소득 56,000달러이며, 재직 기간은 4년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 35,000달러, 대출 기간은 60개월이며, 적용 금리는 17.97%입니다. 매월 납입해야 하는 상환 원리금은 888달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 231개월(약 19.2년)입니다. 총 부채상환비율(DTI)은 46.89%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 15개이고, 전체 신용 한도 대비 사용률(revol_util)은 92.40%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
2500,7.02,77.22,35000.0,6.96,0,680.0,1,11,0,1502,3.6,26,280,36,A,A2,3,OWN,Not Verified,debt_consolidation,MO,0,"이 대출 신청자는 연소득 35,000달러이며, 재직 기간은 3년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 2,500달러, 대출 기간은 36개월이며, 적용 금리는 7.02%입니다. 매월 납입해야 하는 상환 원리금은 77달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 280개월(약 23.3년)입니다. 총 부채상환비율(DTI)은 6.96%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 11개이고, 전체 신용 한도 대비 사용률(revol_util)은 3.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
8000,12.98,269.48,250000.0,7.37,1,680.0,0,16,0,23301,53.9,27,265,36,B,B5,10,MORTGAGE,Not Verified,debt_consolidation,CA,0,"이 대출 신청자는 연소득 250,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 8,000달러, 대출 기간은 36개월이며, 적용 금리는 12.98%입니다. 매월 납입해야 하는 상환 원리금은 269달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 265개월(약 22.1년)입니다. 총 부채상환비율(DTI)은 7.37%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 16개이고, 전체 신용 한도 대비 사용률(revol_util)은 53.90%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
18000,8.81,570.81,65000.0,14.46,0,680.0,0,17,0,7836,27.2,35,135,36,A,A5,3,OWN,Not Verified,debt_consolidation,UT,0,"이 대출 신청자는 연소득 65,000달러이며, 재직 기간은 3년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 18,000달러, 대출 기간은 36개월이며, 적용 금리는 8.81%입니다. 매월 납입해야 하는 상환 원리금은 571달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 135개월(약 11.2년)입니다. 총 부채상환비율(DTI)은 14.46%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 17개이고, 전체 신용 한도 대비 사용률(revol_util)은 27.20%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
10000,16.91,356.08,85000.0,14.8,0,680.0,2,9,0,43406,48.0,18,132,36,C,C5,0,RENT,Verified,other,NC,0,"이 대출 신청자는 연소득 85,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 10,000달러, 대출 기간은 36개월이며, 적용 금리는 16.91%입니다. 매월 납입해야 하는 상환 원리금은 356달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 132개월(약 11.0년)입니다. 총 부채상환비율(DTI)은 14.80%입니다. 최근 6개월간 신용조회 건수는 2건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 9개이고, 전체 신용 한도 대비 사용률(revol_util)은 48.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 기타 목적입니다."
7600,8.19,238.83,108000.0,26.79,0,680.0,0,15,0,4428,8.7,35,268,36,A,A4,10,MORTGAGE,Source Verified,debt_consolidation,NE,0,"이 대출 신청자는 연소득 108,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 7,600달러, 대출 기간은 36개월이며, 적용 금리는 8.19%입니다. 매월 납입해야 하는 상환 원리금은 239달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 268개월(약 22.3년)입니다. 총 부채상환비율(DTI)은 26.79%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 15개이고, 전체 신용 한도 대비 사용률(revol_util)은 8.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
